Date,Sector Return,PPI,Hwage,Electricity,PPI_Change,Hwage_Change,Electricity_Change,CPI,CPI_Change,Oil,Oil_Change
3/1/2015,0.061471187,215,25.04,10.41,0,0,0,8.88346,0,49.59,0
4/1/2015,-0.00415968,214.5,24.94,10.41,-0.002325581,-0.00399361,0,10.1193,0.139116966,50.12,0.010687639
5/1/2015,0.000489359,213.7,24.88,10.41,-0.003729604,-0.002405774,0,11.89192,0.175172196,59.1,0.179169992
6/1/2015,0.019423807,213.7,24.76,10.41,0,-0.004823151,0,14.05434,0.181839434,60.24,0.01928934
7/1/2015,-0.017885139,213.7,24.83,10.41,0,0.002827141,0,12.68962,-0.097103101,56.94,-0.054780876
8/1/2015,0.015602254,213.3,25.04,10.41,-0.001871783,0.008457511,0,13.61511,0.072932838,47.11,-0.172637864
9/1/2015,-0.057409634,212.5,25.05,10.41,-0.003750586,0.000399361,0,13.08216,-0.03914401,45.38,-0.036722564
10/1/2015,-0.031576124,212.4,25.14,10.41,-0.000470588,0.003592814,0,9.1283,-0.302232965,44.75,-0.013882768
11/1/2015,0.07303419,211.7,25.37,10.41,-0.003295669,0.009148767,0,8.3831,-0.08163623,46.12,0.030614525
12/1/2015,0.006196222,210.9,25.2,10.41,-0.003778932,-0.006700828,0,7.99555,-0.046229915,40.58,-0.120121422
1/1/2016,-0.020965303,211.4,25.5,10.27,0.002370792,0.011904762,-0.013448607,7.29629,-0.087456147,37.13,-0.08501725
2/1/2016,-0.05610972,211.3,25.48,10.27,-0.000473037,-0.000784314,0,7.62402,0.044917348,31.62,-0.148397522
3/1/2016,0.012440425,211.6,25.49,10.27,0.001419782,0.000392465,0,7.64884,0.0032555,34.39,0.087602783
4/1/2016,0.076334614,212.7,25.59,10.27,0.005198488,0.003923107,0,4.3199,-0.43522155,35.36,0.028205874
5/1/2016,0.010565654,213.7,25.67,10.27,0.004701457,0.003126221,0,3.01007,-0.303208408,44.75,0.265554299
6/1/2016,0.024788162,214.6,25.41,10.27,0.004211511,-0.010128555,0,3.26883,0.085964778,49.07,0.096536313
7/1/2016,-0.000687619,215.3,25.52,10.27,0.003261883,0.004329004,0,3.54955,0.085877822,49.02,-0.001018953
8/1/2016,0.041808892,216,25.5,10.27,0.003251277,-0.000783699,0,3.05848,-0.138347114,40.05,-0.182986536
9/1/2016,0.007556397,215.3,25.73,10.27,-0.003240741,0.009019608,0,3.54234,0.158202767,43.17,0.077902622
10/1/2016,0.002970984,214.8,26.02,10.27,-0.002322341,0.01127089,0,5.25653,0.483914588,47.72,0.105397267
11/1/2016,-0.021530832,214.5,25.84,10.27,-0.001396648,-0.006917756,0,7.84504,0.492437026,46.66,-0.022212909
12/1/2016,0.05106665,215.5,25.87,10.27,0.004662005,0.001160991,0,6.92465,-0.117321263,51.08,0.094727818
1/1/2017,0.013465438,217.3,26.31,10.48,0.008352668,0.017008118,0.020447907,4.82619,-0.303042031,53.75,0.052270948
2/1/2017,0.030965899,218.8,26.17,10.48,0.006902899,-0.005321171,0,5.22884,0.083430201,53.9,0.002790698
3/1/2017,0.037546965,219.7,26.14,10.48,0.004113346,-0.001146351,0,3.9663,-0.241456996,53.82,-0.00148423
4/1/2017,0.002036437,221,26.42,10.48,0.00591716,0.010711553,0,3.98498,0.004709679,50.54,-0.060943887
5/1/2017,0.011843483,221.7,26.13,10.48,0.003167421,-0.010976533,0,5.03729,0.264069079,48.83,-0.033834586
6/1/2017,0.018628155,221.9,26.03,10.48,0.00090212,-0.003827019,0,2.56467,-0.490863143,48.32,-0.010444399
7/1/2017,0.007390005,221.9,26.35,10.48,0,0.012293507,0,2.59933,0.013514409,46.02,-0.047599338
8/1/2017,0.017507808,222.4,26.17,10.48,0.002253267,-0.00683112,0,1.715,-0.340214594,49.19,0.068883094
9/1/2017,0.000726085,223.1,26.46,10.48,0.003147482,0.011081391,0,1.02378,-0.403043732,47.32,-0.038015857
10/1/2017,0.028574806,223.9,26.62,10.48,0.003585836,0.006046863,0,0.78933,-0.229004278,50.59,0.069103973
11/1/2017,0.023967396,223.9,26.47,10.48,0,-0.005634861,0,0.71078,-0.099514778,54.32,0.073729986
12/1/2017,0.037089014,224.1,26.58,10.48,0.000893256,0.004155648,0,0.70809,-0.003784575,58.35,0.074189985
1/1/2018,0.007938817,225.8,26.86,10.53,0.007585899,0.010534236,0.004770992,3.59486,4.076840515,60.37,0.03461868
2/1/2018,0.053735515,228.7,26.84,10.53,0.012843224,-0.000744602,0,3.25289,-0.095127488,65.92,0.091933079
3/1/2018,-0.037166899,231.3,26.87,10.53,0.011368605,0.001117735,0,2.6904,-0.17292008,60.98,-0.07493932
4/1/2018,-0.006893009,232.4,27.16,10.53,0.004755728,0.010792706,0,3.69776,0.374427594,63.05,0.033945556
5/1/2018,0.002082007,236.8,26.9,10.53,0.018932874,-0.009572901,0,2.72633,-0.262707693,67.28,0.067089611
6/1/2018,0.021972488,239.2,26.79,10.53,0.010135135,-0.004089219,0,1.71201,-0.372045937,65.81,-0.021848989
7/1/2018,0.007212012,239.6,27.1,10.53,0.001672241,0.011571482,0,1.38369,-0.191774581,73.89,0.122777693
8/1/2018,0.032706195,239.4,27,10.53,-0.000834725,-0.003690037,0,1.94547,0.406001344,68.8,-0.068886182
9/1/2018,0.029317075,240,27.45,10.53,0.002506266,0.016666667,0,0.65883,-0.661351756,69.84,0.015116279
10/1/2018,0.002974929,238.7,27.31,10.53,-0.005416667,-0.005100182,0,-0.92812,-2.408739736,75.37,0.079180985
11/1/2018,-0.072936932,238.8,27.35,10.53,0.000418936,0.001464665,0,-3.19732,2.444942464,63.67,-0.155234178
12/1/2018,0.026086244,238.3,27.69,10.53,-0.002093802,0.012431444,0,-4.14223,0.295531883,50.78,-0.202450134
1/1/2019,-0.093181963,238.5,27.72,10.54,0.000839278,0.001083424,0.000949668,-5.05084,0.219352861,46.31,-0.088026782
2/1/2019,0.094858943,238.1,27.79,10.54,-0.001677149,0.002525253,0,-5.17356,0.024296949,55.29,0.193910602
3/1/2019,0.045519785,238.1,27.79,10.54,0,0,0,-4.07825,-0.211713018,55.76,0.008500633
4/1/2019,0.009578338,237.2,27.86,10.54,-0.003779924,0.002518892,0,-2.57158,-0.369440324,61.59,0.104555237
5/1/2019,0.041637797,237.3,27.78,10.54,0.000421585,-0.0028715,0,-2.01321,-0.217131102,63.55,0.031823348
6/1/2019,-0.063491385,236.3,27.9,10.54,-0.004214075,0.004319654,0,0.90201,-1.448045658,53.49,-0.158300551
7/1/2019,0.077431699,235.6,27.86,10.54,-0.002962336,-0.001433692,0,3.22097,2.570880589,58.91,0.101327351
8/1/2019,0.013279942,234.4,27.94,10.54,-0.005093379,0.0028715,0,4.14672,0.287413419,53.64,-0.089458496
9/1/2019,-0.02518448,234.4,28.3,10.54,0,0.012884753,0,6.2744,0.51309951,55.07,0.02665921
10/1/2019,0.020343247,233.8,28.19,10.54,-0.002559727,-0.003886926,0,7.56477,0.205656318,53.6,-0.026693299
11/1/2019,0.012648463,232.8,28.26,10.54,-0.00427716,0.00248315,0,9.5905,0.267784744,56.04,0.045522388
12/1/2019,0.041033507,232.2,28.51,10.54,-0.00257732,0.008846426,0,10.54985,0.100031281,55.97,-0.001249108
1/1/2020,0.029504372,233.4,28.56,10.59,0.005167959,0.001753771,0.004743833,11.77404,0.116038617,61.17,0.092906914
2/1/2020,-0.008132496,234.6,28.81,10.59,0.005141388,0.008753501,0,11.03572,-0.062707448,51.58,-0.156776197
3/1/2020,-0.085731856,236.3,28.91,10.59,0.007246377,0.003471017,0,11.58247,0.049543664,46.78,-0.093059325
4/1/2020,-0.168048806,234.3,30.12,10.59,-0.008463817,0.04185403,0,6.28791,-0.457118387,20.28,-0.566481402
5/1/2020,0.147785073,233.3,29.64,10.59,-0.004268032,-0.015936255,0,5.11325,-0.18681247,19.72,-0.027613412
6/1/2020,0.063037162,234.8,29.11,10.59,0.00642949,-0.017881242,0,3.75509,-0.265615802,35.49,0.79969574
7/1/2020,0.009797882,237,29.22,10.59,0.009369676,0.00377877,0,2.26897,-0.395761486,39.88,0.123696816
8/1/2020,0.048398803,240.9,29.51,10.59,0.016455696,0.009924709,0,2.19664,-0.031877901,40.1,0.00551655
9/1/2020,0.047352876,246.9,29.45,10.59,0.0249066,-0.002033209,0,2.5677,0.168921626,42.76,0.066334165
10/1/2020,-0.025757164,246.4,29.47,10.59,-0.002025111,0.000679117,0,4.26897,0.66256572,38.51,-0.099391955
11/1/2020,-0.005279306,244.3,29.76,10.59,-0.008522727,0.009840516,0,3.93529,-0.078164054,35.64,-0.074526097
12/1/2020,0.147892879,248,29.84,10.59,0.015145313,0.002688172,0,4.92215,0.250771862,44.54,0.249719416
1/1/2021,0.041868159,256.4,30.06,11.1,0.033870968,0.007372654,0.04815864,5.10673,0.037499873,48.35,0.085541087
2/1/2021,-0.010927425,264.6,30.13,11.1,0.031981279,0.002328676,0,2.94527,-0.423257153,53.55,0.107549121
3/1/2021,0.057018685,276.7,30.03,11.1,0.045729403,-0.003318951,0,3.50376,0.189622683,60.54,0.130532213
4/1/2021,0.052473615,291.8,30.31,11.1,0.054571738,0.009324009,0,6.29967,0.797974176,61.41,0.014370664
5/1/2021,0.04650901,305.9,30.52,11.1,0.048320768,0.006928406,0,6.83142,0.084409183,63.5,0.034033545
6/1/2021,0.017306133,315.7,30.28,11.1,0.032036613,-0.007863696,0,6.39394,-0.064039394,67.8,0.067716535
7/1/2021,0.00469141,313.542,30.49,11.1,-0.006835603,0.006935271,0,6.94999,0.086965158,75.33,0.111061947
8/1/2021,0.012982413,313.083,30.81,11.1,-0.001463919,0.010495244,0,6.06523,-0.12730378,71.31,-0.053365193
9/1/2021,0.021698245,317.136,30.9,11.1,0.012945449,0.00292113,0,4.71131,-0.223226489,68.63,-0.037582387
10/1/2021,-0.035487133,322.12,31.08,11.1,0.015715655,0.005825243,0,3.21439,-0.317729039,76.01,0.107533149
11/1/2021,0.054746833,328.94,31.13,11.1,0.021172234,0.001608752,0,3.98745,0.240499753,84.08,0.106170241
12/1/2021,-0.027091085,335.032,31.32,11.1,0.018520095,0.006103437,0,3.9439,-0.010921767,65.44,-0.221693625
1/1/2022,0.060978416,345.742,31.96,12.36,0.031967096,0.020434227,0.113513514,4.81389,0.220591293,75.33,0.151130807
2/1/2022,-0.041122395,343.583,31.71,12.36,-0.006244541,-0.007822278,0,8.30448,0.725107969,88.22,0.171113766
3/1/2022,-0.010562024,345.852,31.8,12.36,0.006603936,0.002838221,0,7.11449,-0.143294944,103.66,0.175017003
4/1/2022,0.029567635,343.786,32.05,12.36,-0.005973653,0.007861635,0,9.2206,0.296031058,99.32,-0.041867644
5/1/2022,-0.065189976,353.015,32.22,12.36,0.026845189,0.005304212,0,8.75861,-0.050104115,105.18,0.059001208
6/1/2022,0.014677555,349.8,31.93,12.36,-0.009107262,-0.009000621,0,6.95078,-0.206406039,115.26,0.09583571
7/1/2022,-0.092342608,346.79,32.2,12.36,-0.008604917,0.008455997,0,6.49348,-0.065791177,110.3,-0.043033142
8/1/2022,0.088138879,342.753,32.25,12.36,-0.011641051,0.001552795,0,5.79912,-0.106931876,96.59,-0.124297371
9/1/2022,-0.029146754,336.464,32.49,12.36,-0.01834849,0.00744186,0,5.56181,-0.040921726,87.09,-0.098353867
10/1/2022,-0.091546581,333.796,32.87,12.36,-0.007929526,0.011695906,0,4.62692,-0.168090963,79.91,-0.082443449
11/1/2022,0.105031387,330.369,32.71,12.36,-0.01026675,-0.00486766,0,2.93354,-0.365984283,88.36,0.105743962
12/1/2022,0.069013341,326.449,32.86,12.36,-0.01186552,0.004585754,0,2.36578,-0.19354091,81.06,-0.082616569
1/1/2023,-0.05146976,327.338,33.4,12.72,0.002723243,0.016433354,0.029126214,-0.08469,-1.035797919,80.16,-0.011102887
2/1/2023,0.070235958,330.532,33.2,12.72,0.009757498,-0.005988024,0,-1.39482,15.46971307,76.34,-0.047654691
3/1/2023,-0.028470071,331.729,33.26,12.72,0.003621435,0.001807229,0,-0.81023,-0.419115011,77.57,0.01611213
4/1/2023,0.004702569,333.366,33.77,12.72,0.004934751,0.015333734,0,-1.60185,0.977031213,75.68,-0.02436509
5/1/2023,0.002344578,337.473,33.46,12.72,0.012319793,-0.009179745,0,-0.3994,-0.750663296,75.65,-0.000396406
6/1/2023,-0.031657549,337.336,33.43,12.72,-0.000405958,-0.000896593,0,1.84801,-5.626965448,70.09,-0.073496365
7/1/2023,0.075744131,334.512,33.93,12.72,-0.008371475,0.014956626,0,1.43656,-0.222644899,70.66,0.008132401
8/1/2023,0.033390739,333.794,33.72,12.72,-0.00214641,-0.006189213,0,2.55095,0.775735089,81.37,0.151570903
9/1/2023,-0.029340599,332.098,33.96,12.72,-0.005080978,0.007117438,0,3.01861,0.18332778,85.52,0.051001598
10/1/2023,-0.046574028,328.743,34.27,12.72,-0.01010244,0.009128386,0,4.61577,0.529104455,88.81,0.038470533
11/1/2023,-0.03804622,326.844,34.08,12.72,-0.005776549,-0.005544208,0,5.39981,0.16986115,81.05,-0.087377548
12/1/2023,0.090025005,327.644,34.26,12.72,0.002447651,0.00528169,0,5.24655,-0.02838248,73.7,-0.090684762
1/1/2024,0.063242861,334.374,34.67,13,0.020540587,0.011967309,0.022012579,5.96318,0.136590712,70.62,-0.041791045
2/1/2024,-0.001783949,337.766,34.61,13,0.010144329,-0.001730603,0,5.78274,-0.030259023,74.36,0.052959502
3/1/2024,0.040574977,330.963,34.63,13,-0.020141163,0.000577868,0,4.50187,-0.221498805,80.9,0.087950511
4/1/2024,0.045333963,330.135,34.84,13,-0.00250179,0.006064106,0,4.60623,0.023181478,84.54,0.04499382
5/1/2024,-0.047324802,329.435,34.79,13,-0.002120345,-0.001435132,0,3.83539,-0.167347267,80.7,-0.045422285
6/1/2024,0.027425911,328.304,34.98,13,-0.003433151,0.005461339,0,2.37903,-0.379716274,77.97,-0.033828996
7/1/2024,-0.003680619,325.573,34.92,13,-0.00831851,-0.001715266,0,2.16934,-0.088140965,84.7,0.086315249
8/1/2024,0.039907979,324.679,35.01,13,-0.002745928,0.00257732,0,2.3997,0.106188979,77.74,-0.082172373
9/1/2024,0.021654017,323.991,35.46,13,-0.002119016,0.01285347,0,2.31884,-0.033695879,74.52,-0.041420118
10/1/2024,0.018023769,325.408,35.4,13,0.004373578,-0.001692047,0,1.79825,-0.224504494,70.41,-0.055152979
